sector,n_cadences,n_in,n_out,target_x_pix,target_y_pix,difference_centroid_x_pix,difference_centroid_y_pix,dx_pix,dy_pix,offset_pix,offset_arcsec,weighted_pixels,difference_weight_sum,peak_difference_flux
37,17337,324,967,4.118126053488408,4.326924929060486,3.513473226794238,4.62703717698727,-0.6046528266941698,0.3001122479267835,0.6750351118163535,14.175737348143423,17,171.2176513671875,19.7578125
63,18357,482,1133,5.109906186866383,3.9324566568902295,4.663525169580112,3.964580632531357,-0.44638101728627166,0.032123975641127345,0.44753543145154273,9.398244060482398,10,179.89666748046875,43.931640625
64,18854,481,1259,4.127848434536975,3.9140988958699303,4.1074818897664915,3.9491277643181477,-0.020366544770483053,0.0350288684482174,0.04051935057044487,0.8509063619793422,11,141.784423828125,32.0634765625
90,19274,486,1188,4.702078604676331,3.987011240499303,4.335778915179203,3.942731365186231,-0.36629968949712843,-0.0442798753130722,0.3689663533215921,7.748293419753434,16,142.63937377929688,28.919921875
99,14076,324,733,5.091476554239565,5.401179227250854,5.553062721581346,4.851655838041326,0.4615861673417818,-0.5495233892095275,0.7176613025443139,15.070887353430592,8,409.8132019042969,139.443359375
100,18314,485,1179,4.9054752476880665,4.422875467931767,5.113279572901548,5.458735225467663,0.20780432521348136,1.0358597575358965,1.0564980240680797,22.186458505429673,11,167.39498901367188,41.8759765625
