sector,depth_ppm,formal_depth_error_ppm,camera,ccd,optimal_aperture_pixel_count,crowdsap,flfrcsap_metadata_only,used_event_count,sap_background_min_e_per_s,sap_background_max_e_per_s,background_excursion_event_count
37,2490.2706619238656,71.045368591591213,2,1,24,0.97762835000000003,0.94107627999999999,2,3817.19580078125,4305.95361328125,0
63,2687.7384695107585,60.818934225022439,2,2,25,0.97406495000000004,0.93564992999999996,3,4092.41015625,6396.4931640625,1
64,2787.7062452610344,59.777406937860974,2,1,21,0.98158621999999995,0.93173587000000002,3,3325.119140625,3691.849365234375,0
90,2873.9787326289565,59.694020454824177,2,2,24,0.97782712999999999,0.93036370999999995,3,3889.3583984375,4231.2646484375,0
99,2769.9164241801191,75.574200751844401,3,3,16,0.97475087999999999,0.90610188000000003,2,2863.5458984375,3079.904296875,0
100,2516.3896430699938,58.988134544731615,2,1,20,0.97304164999999998,0.93117618999999996,3,3654.378662109375,6662.83740234375,1
