source_artifact,source_csv_row,source_data_artifacts,model_id,mask_id,cell_id,window_hours,polynomial_degree,joint_model_weight,sector,cadence_count,event_count,time_min_btjd,time_max_btjd,mean_residual,centered_rms,uncentered_rms,median_residual,mad_sigma,q01_residual,q05_residual,q95_residual,q99_residual,maximum_absolute_residual,median_flux_error,frozen_sector_jitter,maximum_beta,maximum_beta_timescale_minutes,maximum_absolute_acf_nonzero_lag,acf_at_maximum_absolute_nonzero_lag,maximum_absolute_acf_lag_minutes,branch_periodogram_peak_period_minutes,branch_periodogram_peak_power,pearson_residual_sap_bkg,spearman_residual_sap_bkg,pearson_residual_pos_corr1,spearman_residual_pos_corr1,pearson_residual_pos_corr2,spearman_residual_pos_corr2,pearson_residual_mom_centr1,spearman_residual_mom_centr1,pearson_residual_mom_centr2,spearman_residual_mom_centr2,telemetry_association_diagnostic_only
outputs/faz6r_joint_fits.csv,2,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,960,2,2314.1891231969721,2324.0765647321191,1.533538406327093e-07,0.00047031739504071373,0.00047031742004234036,-1.8584418868408e-05,0.00045715540534425143,-0.0010878408651293862,-0.00073867548250335481,0.00076540606835563598,0.0012193981390331906,0.0020718734993839666,0.00046589353397609998,9.1320099598640099e-05,1.3047878760547493,160,0.11790227014630492,0.11790227014630492,260,315.43603883494825,0.0069790324096843416,-0.02045965111942585,-0.080055500277423725,-0.0040425847131904027,-0.002091419370029698,-0.0056851362129895864,-0.014213699553078737,-0.0054480849819747001,-0.0064948936576537074,-0.0058900338315115491,-0.016473053898712994,True
outputs/faz6r_joint_fits.csv,2,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,1353,3,3015.0925339413329,3034.0929139642381,1.7065371035920602e-07,0.00049524195266198142,0.0004952419820644662,5.9265094407589571e-06,0.00047936499064065168,-0.0011108827511947977,-0.00080539534052348819,0.00081930410477965248,0.0011769639099297648,0.0020595032931549039,0.00046874130684409999,0.00015480301225130705,1.2084872896129313,40,0.10768560033545127,-0.10768560033545127,288,315.43603883494825,0.0069790324096843416,-0.0015889527956203769,-0.071103090146336242,0.0054756317819664004,0.0028648594291079484,-0.026933148675283208,-0.033273832344614215,0.0053316205997021478,0.002080905091510871,-0.023074224493243953,-0.029585096300768852,True
outputs/faz6r_joint_fits.csv,2,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,1430,3,3042.7596321662286,3061.8691957086285,1.5583884595974772e-07,0.0004609503604314481,0.00046095038677457234,-2.0918258965233987e-05,0.00045507730939354807,-0.0010105530456193002,-0.00072030858962767071,0.00077454855497968743,0.0011101149141319673,0.002000295960318259,0.00046108607719860003,7.568269824084951e-05,1.1686576115805376,160,0.092264921968802899,-0.092264921968802899,312,315.43603883494825,0.0069790324096843416,-0.011256621848086094,-0.028775056389982307,0.0015777575784083184,0.01379858051498069,0.0081744572726534827,0.01525084366760166,0.0014720661164551194,0.015155310028357547,0.0074389858933713131,0.014277081757969568,True
outputs/faz6r_joint_fits.csv,2,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,90,1440,3,3752.8849801651095,3771.9963267013832,1.5677292084733486e-07,0.0004794949103266866,0.00047949493595547595,1.3633049521776609e-05,0.00048798806876696046,-0.0011161165077374659,-0.00079190673291430248,0.00079272675425380123,0.0011236606375462459,0.0018314840487355349,0.00046858387240319998,0.00010961073634510336,1.2705853954704589,80,0.08340586019459198,-0.08340586019459198,238,315.43603883494825,0.0069790324096843416,-0.022928812505651337,-0.12357484849097529,-0.0037947586976941829,0.0018691294700662953,0.0017178930258569839,0.016908070621819035,-0.0030169847747957826,0.0050380763108006897,0.003273197036807624,0.021258968103283225,True
outputs/faz6r_joint_fits.csv,2,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,99,960,2,4048.0022817307176,4067.1131551751855,1.7321876246430388e-07,0.00051713980696595511,0.0005171398359762328,7.5079685634096729e-06,0.0004944817633038952,-0.0012105728326005385,-0.00088174044297430068,0.00090673482459126264,0.0012006876335068661,0.0018314514985120806,0.00045855403908534999,0.00023814601170154184,1.0873733115995761,40,0.16850272529231666,-0.16850272529231666,334,315.43603883494825,0.0069790324096843416,-0.012417408429190292,-0.082299975927029922,0.0066956123334409772,0.0094210442936678521,-0.0057244566144381342,-0.029664352391875422,0.0084106533818798131,0.013580160677257676,-0.0047266437349369958,-0.028540490495323884,True
outputs/faz6r_joint_fits.csv,2,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,100,1287,3,4075.6705901389146,4094.7798667526049,1.4663515702626922e-07,0.00048210511334762402,0.00048210513564760402,-1.3456129090835801e-05,0.00047370183305261472,-0.0011118872903353209,-0.00082129409796121355,0.00079267610104068805,0.0010547005402113238,0.0016882944295309394,0.00046528342149780003,0.00012389939670261679,1.6670408624577597,360,0.093956196821574745,-0.093956196821574745,288,315.43603883494825,0.0069790324096843416,-0.0087283738671038499,-0.045801779322064605,0.0014243722113072615,0.0075413857447801606,-0.0069568429742247178,-0.020045020230969247,0.0009529708602826159,0.0041564865589478481,-0.00713098937947513,-0.023577460473126175,True
outputs/faz6r_joint_fits.csv,3,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W20_P1,raw_valid,W20_P1,20,1,0.045454545454545456,37,1200,2,2314.1057898421354,2324.1598972576094,1.5690549970683999e-07,0.00047245588922437126,0.00047245591527901018,-1.8597563292672785e-06,0.00046240587439828066,-0.0010956193840818073,-0.00075477040250830662,0.00076685222897889818,0.0011620048378415916,0.0020742899919760191,0.00046587012748950003,9.6783099599982123e-05,1.7140880506141825,160,0.1168981509400519,0.1168981509400519,58,331.61699298651536,0.0065804300262811873,-0.018223345812234074,-0.074782170117448282,-0.0041488690634230233,-0.0043035863219349456,-0.003781344232830804,-0.010242989769859196,-0.0045547551231090947,-0.0062023654183093182,-0.0043079480611081435,-0.013328564811503343,True
outputs/faz6r_joint_fits.csv,3,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W20_P1,raw_valid,W20_P1,20,1,0.045454545454545456,63,1647,3,3015.0091981656428,3034.0929139642381,1.9127816685595617e-07,0.00049469321437039073,0.00049469325135021456,2.6940121310354594e-07,0.00048955438831376657,-0.0011369796603132103,-0.00078514073836982864,0.00083517049300207448,0.0012127523581549149,0.0021772049535173183,0.00046875142387890002,0.00015382456528566154,1.3709254402479834,160,0.083256728071604294,0.083256728071604294,44,331.61699298651536,0.0065804300262811873,0.0019545282417218319,-0.065939449039150333,0.0085852387298817855,0.0047049942712629866,-0.015622878351843669,-0.027590324168449986,0.0080379783855855612,0.0025129876692000486,-0.010947735375567751,-0.021461673587972848,True
outputs/faz6r_joint_fits.csv,3,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W20_P1,raw_valid,W20_P1,20,1,0.045454545454545456,64,1786,3,3042.6762987013981,3061.952527538283,1.5886889630486019e-07,0.00047005845711168572,0.00047005848395869281,-2.3069262584806701e-05,0.00045377823103829749,-0.0009940338289876555,-0.00072317653109041672,0.00080948062836575635,0.0011415612548262982,0.0021348534387577679,0.00046109804462284997,0.00010151883640427392,1.5441522800502816,320,0.077213476635402539,-0.077213476635402539,254,331.61699298651536,0.0065804300262811873,-0.011503701175005579,-0.024662122620543583,0.0021789930518288747,0.015487912006168282,0.012075540813524936,0.020182612843895664,0.0016602350043674265,0.016575980187881745,0.011676589965939892,0.01894057028560673,True
outputs/faz6r_joint_fits.csv,3,data/toi3492_faz4_reductions_120s.csv.gz;data/toi3492_cadence_ledger_120s.csv.gz;outputs/faz2_transit_inventory.json;data/faz5_preregistered_grid.json,raw_valid::W20_P1,raw_valid,W20_P1,20,1,0.045454545454545456,90,1800,3,3752.8016450312175,3772.0796601537086,1.686349045209499e-07,0.00048045656980902969,0.00048045659940351536,8.025742043282113e-06,0.00048339498286571021,-0.0011212400122926208,-0.00079206740642782892,0.00080230574854979323,0.0010970730695888762,0.0018429827322762884,0.00046861226721225003,0.00011302922075124364,1.5722549173111102,360,0.096935752708244408,0.096935752708244408,6,331.61699298651536,0.0065804300262811873,0.00035930716072320466,-0.11620883614631392,-0.00059982979860188023,0.0061836274229302747,0.00051464371288058427,0.013161395008661012,-0.0014275331330152142,0.0062207817553853158,0.0019225664614770598,0.016795371438900652,True
