sector,n_points,depth_ppm,depth_err_ppm,n_in,n_out
37,15450,2490.2706619239766,71.04536859159127,318,945
63,18353,2687.7384695107585,60.81893422502258,474,1105
64,18841,2787.7062452607015,59.77740693786103,471,1230
90,19270,2873.9787326289565,59.69402045482426,477,1177
100,16521,2516.389643069994,58.98813454473181,477,1153
99,14067,2769.916424180119,75.57420075184436,318,720
