time,flux,n
-0.6970833333333333,0.9999819398001824,70
-0.6912499999999999,1.0001078545734554,68
-0.6854166666666666,1.0000482797478796,70
-0.6795833333333333,0.9999625389764516,72
-0.67375,1.0001240952283657,69
-0.6679166666666666,1.0002080797528985,67
-0.6620833333333334,1.000146032459022,65
-0.65625,0.9999883771821121,70
-0.6504166666666666,1.0002700110364775,71
-0.6445833333333333,1.0002157092737285,69
-0.6387499999999999,1.0001447181625704,69
-0.6329166666666666,1.0000516470523657,68
-0.6270833333333333,1.000046819130772,68
-0.62125,1.0001397730737964,70
-0.6154166666666666,1.0001249610883978,70
-0.6095833333333334,1.0001878713543748,71
-0.60375,1.0002927765143643,69
-0.5979166666666667,1.0003040429667966,68
-0.5920833333333333,1.000137208076704,73
-0.5862499999999999,1.0001368515629032,67
-0.5804166666666666,1.000098823994466,69
-0.5745833333333333,1.0002561773734464,67
-0.56875,1.0001591455777914,71
-0.5629166666666666,1.0001128610918957,72
-0.5570833333333334,1.000131368140332,70
-0.55125,1.0001950853845285,68
-0.5454166666666667,1.0002309679296708,65
-0.5395833333333333,1.0001391182691255,67
-0.53375,1.0001956821071154,71
-0.5279166666666666,1.0001620038528962,66
-0.5220833333333332,1.000130891659495,67
-0.51625,1.0001612887766989,66
-0.5104166666666666,1.000155686534104,67
-0.5045833333333334,1.0001411430753289,71
-0.49875,1.0001047555481128,70
-0.49291666666666667,1.0002115954043147,71
-0.4870833333333333,1.0000863070832249,69
-0.48124999999999996,1.0001099708698553,70
-0.4754166666666666,1.0001336332491215,72
-0.46958333333333335,1.0001801848948553,71
-0.46375,1.000164179878139,72
-0.45791666666666664,1.000225784063174,69
-0.4520833333333333,1.0000924466674261,70
-0.44625,1.0000921783384018,74
-0.4404166666666667,1.0001027570478878,71
-0.4345833333333333,1.000282794129065,72
-0.42874999999999996,1.0002223241853785,69
-0.42291666666666666,1.0001165875468765,71
-0.4170833333333333,1.0001068710962322,73
-0.41125,1.0002983793222533,71
-0.40541666666666665,1.0001909137341125,71
-0.3995833333333333,1.0001282091533121,68
-0.39375,1.0001764583588362,70
-0.3879166666666667,1.00029462584693,73
-0.38208333333333333,1.0002096587868836,68
-0.37625,1.0000900325786328,68
-0.3704166666666666,1.00023311383519,65
-0.3645833333333333,1.0001623034960936,65
-0.35875,1.0001739847031614,70
-0.35291666666666666,1.0002577302074942,67
-0.3470833333333333,1.000081956410991,67
-0.34125,1.0001387594641644,65
-0.3354166666666667,1.0002315051721518,62
-0.32958333333333334,1.000272660810099,66
-0.32375,1.0002607126431684,63
-0.3179166666666666,1.000314414594893,63
-0.3120833333333333,1.0002225635048063,61
-0.30625,1.000281095501368,62
-0.30041666666666667,1.000282761828686,66
-0.2945833333333333,1.0002090928695395,63
-0.28875,1.0001978864062886,63
