source_artifact,source_csv_row,model_id,mask_id,cell_id,window_hours,polynomial_degree,kernel_id,held_sector,screening_valid,optimizer_success,branch_log_predictive_density,input_fold_any_parameter_at_boundary,parameter_index,parameter_name,parameter_value,lower_bound,upper_bound,nearest_boundary,distance_fraction,at_boundary,transformation,transformed_value,transformed_unit
outputs/faz6_loso_scores.csv,5,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,90,True,True,2781.7341426477496,False,2,delta_jitter_s63,-0.077215318251141585,-3,3,lower,0.48713078029147638,False,exp,0.92569051408395597,multiplicative_ratio
outputs/faz6_loso_scores.csv,5,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,90,True,True,2781.7341426477496,False,3,delta_jitter_s64,-0.64198295720779663,-3,3,lower,0.39300284046536721,False,exp,0.52624786173363469,multiplicative_ratio
outputs/faz6_loso_scores.csv,5,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,90,True,True,2781.7341426477496,False,4,delta_jitter_s99,0.40207631921303161,-3,3,upper,0.43298728013116139,False,exp,1.4949254198540496,multiplicative_ratio
outputs/faz6_loso_scores.csv,5,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,90,True,True,2781.7341426477496,False,5,delta_jitter_s100,0.20207181929511459,-3,3,upper,0.46632136345081426,False,exp,1.2239359071690143,multiplicative_ratio
outputs/faz6_loso_scores.csv,6,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,99,True,True,1868.7564557873347,False,0,mu_jitter,-1.4033066367865765,-6,2,upper,0.42541332959832207,False,exp,0.24578290399120209,multiplicative_ratio
outputs/faz6_loso_scores.csv,6,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,99,True,True,1868.7564557873347,False,1,delta_jitter_s37,0.14357193207559563,-3,3,upper,0.47607134465406742,False,exp,1.1543898454782755,multiplicative_ratio
outputs/faz6_loso_scores.csv,6,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,99,True,True,1868.7564557873347,False,2,delta_jitter_s63,-0.050327208622285249,-3,3,lower,0.49161213189628578,False,exp,0.95091822494761102,multiplicative_ratio
outputs/faz6_loso_scores.csv,6,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,99,True,True,1868.7564557873347,False,3,delta_jitter_s64,-0.61808682883929267,-3,3,lower,0.39698552852678454,False,exp,0.53897460250542306,multiplicative_ratio
outputs/faz6_loso_scores.csv,6,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,99,True,True,1868.7564557873347,False,4,delta_jitter_s90,0.28813839470612979,-3,3,upper,0.451976934215645,False,exp,1.3339419018469163,multiplicative_ratio
outputs/faz6_loso_scores.csv,6,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,99,True,True,1868.7564557873347,False,5,delta_jitter_s100,0.23534481621882519,-3,3,upper,0.4607758639635291,False,exp,1.2653450049980324,multiplicative_ratio
outputs/faz6_loso_scores.csv,7,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,100,True,True,1849.5091696576376,False,0,mu_jitter,-1.3496675241671525,-6,2,upper,0.41870844052089407,False,exp,0.25932646609727789,multiplicative_ratio
outputs/faz6_loso_scores.csv,7,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,100,True,True,1849.5091696576376,False,1,delta_jitter_s37,0.10386504361933736,-3,3,upper,0.48268915939677709,False,exp,1.1094507173584522,multiplicative_ratio
outputs/faz6_loso_scores.csv,7,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,100,True,True,1849.5091696576376,False,2,delta_jitter_s63,-0.086500565514484706,-3,3,lower,0.48558323908091922,False,exp,0.91713503013141506,multiplicative_ratio
outputs/faz6_loso_scores.csv,7,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,100,True,True,1849.5091696576376,False,3,delta_jitter_s64,-0.65004453033441456,-3,3,lower,0.39165924494426424,False,exp,0.52202253040558499,multiplicative_ratio
outputs/faz6_loso_scores.csv,7,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,100,True,True,1849.5091696576376,False,4,delta_jitter_s90,0.24100236821521215,-3,3,upper,0.45983293863079799,False,exp,1.2725240489154712,multiplicative_ratio
outputs/faz6_loso_scores.csv,7,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K0_white,100,True,True,1849.5091696576376,False,5,delta_jitter_s99,0.38999145604325969,-3,3,upper,0.43500142399279002,False,exp,1.4769681746765424,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,0,mu_jitter,-1.4438051899008175,-6,2,upper,0.43047564873760219,False,exp,0.23602791668816445,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,1,mu_amplitude,-1.2592353806998402,-6,2,upper,0.40740442258748,False,exp,0.28387099678226207,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,2,log_timescale_minutes,5.8861040314501558,1.3862943611198906,5.8861040314501558,upper,0,True,exp,360.00000000000006,minutes
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,3,delta_jitter_s63,-0.19231330871516333,-3,3,lower,0.46794778188080616,False,exp,0.825048333159901,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,4,delta_jitter_s64,-0.6032272621868795,-3,3,lower,0.39946212296885336,False,exp,0.54704333197841726,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,5,delta_jitter_s90,0.24931974164630866,-3,3,upper,0.45844670972561524,False,exp,1.2831522446966299,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,6,delta_jitter_s99,0.41403895540490215,-3,3,upper,0.43099350743251635,False,exp,1.5129160619942446,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,7,delta_jitter_s100,0.13155040396725329,-3,3,upper,0.47807493267212448,False,exp,1.1405953968065501,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,8,delta_amplitude_s63,0.21902655646431574,-3,3,upper,0.46349557392261403,False,exp,1.2448643354438695,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,9,delta_amplitude_s64,-0.48514666150641628,-3,3,lower,0.41914222308226395,False,exp,0.61560690430728715,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,10,delta_amplitude_s90,-0.0093891841184948685,-3,3,lower,0.49843513598025085,False,exp,0.99065475664055025,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,11,delta_amplitude_s99,0.021162563251937553,-3,3,upper,0.49647290612467709,False,exp,1.0213880783097453,multiplicative_ratio
outputs/faz6_loso_scores.csv,8,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,37,True,True,1861.9429285699184,True,12,delta_amplitude_s100,0.25241208692502243,-3,3,upper,0.4579313188458296,False,exp,1.2871263359466594,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,0,mu_jitter,-1.4093257257092804,-6,2,upper,0.42616571571366002,False,exp,0.24430795820435683,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,1,mu_amplitude,-1.2002838260078978,-6,2,upper,0.40003547825098723,False,exp,0.30110873729196702,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,2,log_timescale_minutes,5.7177128819738101,1.3862943611198906,5.8861040314501558,upper,0.037421838213878629,False,exp,304.20836626865412,minutes
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,3,delta_jitter_s37,-0.16236425903247362,-3,3,lower,0.47293929016125441,False,exp,0.85013148006328532,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,4,delta_jitter_s64,-0.6244088345092943,-3,3,lower,0.39593186091511762,False,exp,0.53557795015315202,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,5,delta_jitter_s90,0.19801717699100735,-3,3,upper,0.46699713716816543,False,exp,1.2189833321075476,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,6,delta_jitter_s99,0.38275468449401084,-3,3,upper,0.43620755258433147,False,exp,1.4663182753338406,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,7,delta_jitter_s100,0.084547247174534268,-3,3,upper,0.48590879213757759,False,exp,1.0882242585388797,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,8,delta_amplitude_s37,0.52431340442126317,-3,3,upper,0.41261443259645619,False,exp,1.6892985851691331,multiplicative_ratio
outputs/faz6_loso_scores.csv,9,raw_valid::W16_P1,raw_valid,W16_P1,16,1,K1_ou,63,True,True,2577.7927520124526,False,9,delta_amplitude_s64,-0.58954154351377719,-3,3,lower,0.40174307608103715,False,exp,0.55458147793749291,multiplicative_ratio
