source_artifact,source_csv_row,model_id,mask_id,cell_id,window_hours,polynomial_degree,joint_model_weight,sector,timescale_minutes,filled_bins,eligible,unbinned_rms,binned_rms,effective_cadences_per_bin,finite_bin_correction,white_noise_rms,beta,weighted_beta_contribution
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,20,96,True,0.00047031739504071373,0.00017233772773700052,9.9957930164072355,1.0052493799000692,0.00014953960471946734,1.1524554184846343,0.052384337203847012
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,40,48,True,0.00047031739504071373,0.00012672103223237396,19.995823762789726,1.0105823052798226,0.0001062901650144947,1.1922178520947175,0.054191720549759889
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,80,24,True,0.00047031739504071373,9.4328244822178449e-05,39.995831162063574,1.0215078369104984,7.5967070897156486e-05,1.2416991165801186,0.056440868935459937
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,160,12,True,0.00047031739504071373,7.1662433629262779e-05,79.995832899260321,1.044465935734187,5.4922669764488059e-05,1.3047878760547493,0.059308539820670428
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,320,6,True,0.00047031739504071373,3.0714526996332753e-05,159.99583327907916,1.0954451150103321,4.0731211559373834e-05,0.75407840377053914,0.034276291080479054
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,37,360,6,True,0.00047031739504071373,2.60972279515722e-05,153.97423847284185,1.0954451150103321,4.1520027487670894e-05,0.62854553647204603,0.028570251657820275
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,20,138,True,0.00049524195266198142,0.000184708571583532,9.6215139442231088,1.0036429993144937,0.00016024149203912099,1.152688790107107,0.0523949450048685
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,40,72,True,0.00049524195266198142,0.00014560615031471394,17.133012705476997,1.0070176299560269,0.00012048629022929186,1.2084872896129313,0.054931240436951426
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,80,38,True,0.00049524195266198142,0.0001101491790242741,28.292209393218727,1.0134234194190634,9.435717540023003e-05,1.1673640987774372,0.053062004489883512
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,160,22,True,0.00049524195266198142,0.00010353405264651269,33.85035923671964,1.023532631438318,8.712393439696746e-05,1.1883537326812508,0.054016078758238675
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,320,14,True,0.00049524195266198142,9.818407306537216e-05,29.206421795202072,1.0377490433255416,9.5097826812604155e-05,1.0324533835967633,0.046929699254398334
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,63,360,14,True,0.00049524195266198142,0.00010453008387338269,29.122041771836422,1.0377490433255416,9.5235498352750646e-05,1.0975958091404643,0.049890718597293833
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,20,147,True,0.0004609503604314481,0.00015879759893769883,9.0943867018106914,1.0034188133917428,0.00015337327455017206,1.035366816046901,0.047062128002131866
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,40,77,True,0.0004609503604314481,0.00013304530807296136,14.561311791850567,1.0065574473108041,0.00012158849271881761,1.0942261483628921,0.04973755219831328
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,80,43,True,0.0004609503604314481,0.00011982745683037143,16.954464950112346,1.0118347314702751,0.00011327177265049632,1.0578757092475535,0.048085259511252434
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,160,25,True,0.0004609503604314481,0.00012799990714940836,18.449829605811807,1.0206207261596576,0.00010952729514703314,1.1686576115805376,0.053120800526388075
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,320,17,True,0.0004609503604314481,0.00012622693638041478,19.179661471037868,1.0307764064044151,0.00010849211098112791,1.1634664975997364,0.052884840799988023
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,64,360,17,True,0.0004609503604314481,0.00012477619515490032,19.148816700726965,1.0307764064044151,0.00010857945496132138,1.1491694740901823,0.052234976095008288
outputs/faz6r_joint_fits.csv,2,raw_valid::W16_P1,raw_valid,W16_P1,16,1,0.045454545454545456,90,20,144,True,0.0004794949103266866,0.00016598006175619335,10,1.0034904120085091,0.00015215885410077795,1.0908340677057238,0.049583366713896536
