source_id,ra,dec,separation_arcsec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,astrometric_excess_noise,duplicated_source,non_single_star,is_target_match,delta_g_mag,flux_ratio_vs_target,max_depth_if_fully_eclipsed_ppm,max_depth_if_50pct_eclipsed_ppm,can_mimic_full_eclipse,can_mimic_50pct_eclipse,delta_ra_arcsec,delta_dec_arcsec
5347362071701193344,166.63666838751203,-53.731979971508025,0.005564572205959773,4.932393709472833,0.013711397,-8.902959414506856,0.01577579,-1.9237125294174786,0.014793113,8.830129,9.0964775,8.40026,0.98484576,0.0935983,True,0,True,0.0,1.0,,,False,False,-0.005563626783111269,0.00010257111000555597
5347362037342085760,166.63741012159025,-53.7339806593502,7.372361484662397,-0.042952247260746645,0.34329438,-4.7444490931319745,0.49718416,0.3330963152624754,0.39196637,19.482538,19.13942,17.972984,1.0760075,0.104348674,False,0,False,10.65241,5.4832253e-05,54.829246520996094,27.414623260498047,False,False,1.574053819330789,-7.20237366072638
5347362037329709184,166.63839033115653,-53.73458307944377,10.060977246458483,0.47858318524762217,0.18386331,-4.8214062608977715,0.24518466,1.8814831410324244,0.20010082,18.718801,18.995632,17.89683,1.0251138,0.31591582,False,0,False,9.888673,0.00011079773,110.78546142578125,55.392730712890625,False,False,3.661535272874893,-9.371085997582895
5347362037328165504,166.63178983630795,-53.73179257923117,10.41695849805151,0.4410130217909529,0.64358974,-5.746760438912537,0.93462974,1.580028236408655,0.76511514,20.226997,,,0.9272793,0.0,False,0,False,11.396869,2.7621816e-05,27.621051788330078,13.810525894165039,False,False,-10.395061453613287,0.6747147677941712
5347362071687929856,166.64173539220081,-53.731233611639304,11.115038109413183,0.625219097937276,0.03192462,-1.2376061314166757,0.03613868,1.4222720453226645,0.033657633,15.745013,16.121725,15.170282,0.9363628,0.0,False,0,False,6.9148846,0.0017141397,1711.20654296875,855.603271484375,False,False,10.785269963023826,2.6869980985054553
5347362037328165632,166.6314559611658,-53.73140704615425,11.296079024649833,0.5898341487541997,0.049702227,-6.824820051360808,0.061974898,-1.9557049608043395,0.053500097,16.442495,16.8673,15.777235,0.9801989,0.0,False,0,False,7.6123667,0.00090168184,900.8695678710938,450.4347839355469,False,False,-11.106091207838707,2.0626338446902537
5347362071701195520,166.64195231199895,-53.732432819114635,11.364689553019703,0.8178618676919689,0.047147598,-1.5449515753723801,0.06478147,2.3273869800312923,0.055929728,16.375639,16.86753,15.679222,1.0208457,0.0,False,0,False,7.5455103,0.0009589496,958.0309448242188,479.0154724121094,False,False,11.247228375887758,-1.6301488126856611
5347362037329708672,166.63025625095975,-53.73250604544829,13.791579759547288,0.6569345848991343,0.3216713,-3.205717563626966,0.36944935,1.391761177278411,0.30972415,19.583488,19.869337,18.83408,1.0149465,0.0,False,0,False,10.75336,4.996387e-05,49.96137619018555,24.980688095092773,False,False,-13.661027306143712,-1.8937636138417702
5347362071687919360,166.63213840594912,-53.72860621553707,15.514477440682471,0.3066903308384053,0.26396352,-9.741141851405356,0.32101697,3.3897493981936044,0.2614763,19.36288,19.774,18.509712,0.987067,0.0,False,0,False,10.532752,6.122081e-05,61.21705627441406,30.60852813720703,False,False,-9.65273788704676,12.145624066548066
5347362037331309184,166.63376263157892,-53.735931799561115,15.516169683871244,-0.997309920130526,1.1949065,-0.1458192379338179,1.4030355,-14.814535355178226,1.093964,20.685427,21.485325,19.615593,1.0138681,0.76577955,False,0,False,11.855298,1.8108425e-05,18.108097076416016,9.054048538208008,False,False,-6.193741979219876,-14.226478420013677
5347362037328152448,166.63741462963344,-53.73675251918139,17.253892602357453,-0.46432031060686474,0.8264307,-7.718711247420514,1.1001296,5.314532798779091,0.80945307,20.444029,20.971746,19.639597,1.08679,2.7071211,False,0,False,11.6139,2.2617247e-05,22.61673355102539,11.308366775512695,False,False,1.5836542730248353,-17.18106905299237
5347362067389450496,166.63232070016744,-53.72773466038052,17.872237552816074,0.3255707259101254,0.08056416,-5.3716945473939335,0.09902646,2.6584669482276664,0.08249644,17.619017,18.006117,17.009237,1.0183604,0.0,False,0,False,8.788888,0.00030510186,305.0088195800781,152.50440979003906,False,False,-9.264519068416991,15.283222630128535
5347362033029705216,166.6285544735409,-53.72987591961888,18.872421899911345,0.3847272383761519,0.13047412,-6.37967036415787,0.16381185,2.5805151697214264,0.12433073,18.28947,18.765268,17.649656,0.9878863,0.0,False,0,False,9.459342,0.0001645368,164.50973510742188,82.25486755371094,False,False,-17.285179652853586,7.574689372043508
5347362071701193856,166.64482029558624,-53.7348743023212,20.242031381551744,0.30670664837921824,0.19824427,-9.012380679551603,0.24545111,0.31284886619713903,0.20038979,18.955294,19.305927,18.08618,0.9894228,0.0,False,0,False,10.125165,8.911155e-05,89.10360717773438,44.55180358886719,False,False,17.35496569401033,-10.419488356328088
5347362071687929728,166.63173506639728,-53.72708468297617,20.520327307652106,-0.6927018908925793,0.4512858,-5.800696032527109,0.57690555,0.17803713863609333,0.48417422,20.101482,20.461447,19.441885,1.0265859,0.9839509,False,0,False,11.271354,3.1006904e-05,31.005943298339844,15.502971649169922,False,False,-10.511700973010099,17.62314128579021
5347362071701580160,166.64498086099243,-53.73560358308204,21.984608897609764,1.1585802111134487,0.03471244,-5.364405313744571,0.043861564,-1.9809947396155791,0.039238956,15.9657755,16.602697,15.187979,0.9643076,0.0,False,0,False,7.135647,0.0013987536,1396.7998046875,698.39990234375,False,False,17.69691023223361,-13.044899095339701
5347373788361829632,166.62741508827048,-53.72824592122806,23.85978301059232,,,,,,,21.009125,21.43584,20.432661,,0.0,False,0,False,12.178996,1.34400625e-05,13.439881324768066,6.719940662384033,False,False,-19.711646096628428,13.442683578989545
5347362071691051776,166.64566590849546,-53.728004336509656,23.91284353313505,,,,,,,20.84132,20.984127,20.835314,,2.33722,False,0,False,12.011191,1.5686399e-05,15.686151504516602,7.843075752258301,False,False,19.155806377057218,14.31238856523862
5347362033029681152,166.6362782288594,-53.73873068242514,24.31684498309025,0.08488544079371516,0.051571466,-4.032125483700512,0.060611766,0.49894521136313374,0.05140449,16.71126,17.370277,15.936035,0.95264626,0.0,False,0,False,7.881131,0.00070395926,703.464111328125,351.7320556640625,False,False,-0.8364563045679898,-24.302456730512745
5347373788361828736,166.62536025855704,-53.72986726693892,25.260516901334682,-0.5609480132668607,0.8703496,-4.768210890248391,1.1415325,1.6581610495702435,1.0176128,20.56373,20.82212,19.9501,1.04729,1.6200156,False,0,False,11.733602,2.0256251e-05,20.255840301513672,10.127920150756836,False,False,-24.087668392848105,7.605839019896621
5347362071687946112,166.6346846068721,-53.725025088171726,25.392592625490284,1.2676122718714322,0.4010743,-4.602577340594106,0.50853896,1.5716688718997753,0.4173272,19.984114,20.465029,19.37327,1.0542446,0.85612917,False,0,False,11.153985,3.4546647e-05,34.54545211791992,17.27272605895996,False,False,-4.23027784731239,25.037682581785248
5347362071687926144,166.64807525476346,-53.73434877467193,25.73977487423448,0.16066142390286944,0.19439422,-6.474067828768961,0.22441296,0.47818132045047657,0.21272203,18.177025,18.29276,17.180061,1.6429346,1.4729724,False,0,False,9.346896,0.000182491,182.45770263671875,91.22885131835938,False,False,24.28681695135535,-8.52758881894431
5347362037341444992,166.6293193959095,-53.7376975623495,25.86023503177393,0.4164466647602233,0.031168729,-6.617136710841896,0.03590786,-1.3458581419659423,0.031331286,15.683572,16.150366,15.048228,1.0438353,0.09335527,False,0,False,6.853443,0.0018139388,1810.654541015625,905.3272705078125,False,False,-15.656179780998576,-20.58322445820977
5347362071701196416,166.64832546306727,-53.73431749156735,26.206742530763478,,,,,,,19.195995,,,,0.0,False,0,False,10.365867,7.1392635e-05,71.38753509521484,35.69376754760742,False,False,24.819667488318295,-8.414969642470282
5347362067393683072,166.63100838565381,-53.725421023440994,26.51395669099891,1.1133705152374411,0.27737287,-20.557360715094433,0.33973262,8.7299403155255,0.28133434,19.384138,20.5679,18.116205,1.053689,1.0811087,False,0,False,10.554009,6.0033843e-05,60.03023910522461,30.015119552612305,False,False,-12.059260420320122,23.612315612422208
5347362071687938816,166.64918202497986,-53.732840858588055,26.82318514647845,0.002674776600348942,0.10845061,-6.1867563796050735,0.14216019,2.501753013858404,0.11352149,18.040932,18.47447,17.44875,0.9954284,0.0,False,0,False,9.210803,0.0002068611,206.81832885742188,103.40916442871094,False,False,26.643825472360135,-3.099090916998648
5347373788371970048,166.62430573369426,-53.733574063024165,26.950959576650668,0.21747122367067964,0.068258286,-6.288969240103766,0.081137165,0.9767622004716401,0.06691892,17.180399,17.644579,16.58621,1.0080315,0.0,False,0,False,8.35027,0.00045697438,456.76568603515625,228.38284301757812,False,False,-26.333413761067455,-5.738626886991938
5347362037331866624,166.63826006661657,-53.73964378322395,27.79635394007173,-1.0958999243279872,0.7806831,-7.548561847001736,1.1378497,-0.1546354027544558,1.1283227,20.60552,21.005968,20.200596,0.9851558,0.0,False,0,False,11.775392,1.9491403e-05,19.49102210998535,9.745511054992676,False,False,3.3841202989962706,-27.589619606209226
5347362037331312512,166.64578644039136,-53.73766377082217,28.204078391340417,0.4984188911863222,0.73720884,-5.011879814435687,1.1502908,4.2374354246781545,1.0368714,20.53152,20.949184,19.75769,0.97586393,0.0,False,0,False,11.701392,2.0866193e-05,20.865758895874023,10.432879447937012,False,False,19.4124944424591,-20.461574959799123
